stage	rep	level	wall_ms	self_ms	errors	user_s	sys_s	maxrss_kb
A	0	seq	26204	26013	46	107.53	0.82	804388
A	0	2	20615	20443	46	103.40	0.95	1093560
A	0	4	19902	19709	47	117.84	1.08	1458548
A	0	8	21006	20747	56	137.04	1.44	2233152
B	1	seq	25733	25568	46	106.17	0.77	829560
B	1	2	20634	20450	47	103.50	0.96	1095988
B	1	4	19677	19472	46	117.11	1.20	1566016
B	1	8	21576	21351	56	138.91	1.45	2235572
B	2	2	20897	20708	47	105.46	0.90	1075288
B	2	4	19501	19294	46	115.30	1.05	1440468
B	2	8	21829	21605	56	144.77	1.48	2276224
B	2	seq	26618	26454	46	110.80	0.81	830564
B	3	4	19049	18824	46	113.85	1.77	2225516
B	3	8	22083	21860	56	142.59	1.52	2116608
B	3	seq	26525	26343	46	111.71	0.80	830968
B	3	2	21524	21324	47	105.89	1.08	1327444
B	4	8	20800	20572	56	133.48	1.36	2083244
B	4	seq	25675	25510	46	106.97	0.76	814684
B	4	2	21746	21565	46	109.14	0.94	1112268
B	4	4	20787	20474	47	122.78	1.98	2567548
B	5	seq	26328	26145	46	110.36	0.82	853764
B	5	2	21803	21616	46	108.23	0.99	1119652
B	5	4	20119	19927	47	118.37	1.10	1388420
B	5	8	22560	22342	56	143.60	1.47	2179092
