rep	level	wall_ms	self_ms	errors	reported	trunc	md5	user_s	sys_s	maxrss_kb
1	seq	21488	21328	46	46	0	59d930db8493	89.62	0.69	878824
1	2	17775	17606	46	46	0	59d930db8493	90.38	0.80	1073908
1	4	17454	17251	46	46	0	59d930db8493	103.37	0.98	1402584
1	8	18349	18101	46	46	0	59d930db8493	120.10	1.52	2351944
2	2	17256	17038	46	46	0	59d930db8493	84.60	0.89	1170484
2	4	17489	17221	46	46	0	59d930db8493	104.53	0.97	1350460
2	8	20319	20082	46	46	0	59d930db8493	131.57	1.37	2140164
2	seq	23469	23298	46	46	0	59d930db8493	97.84	0.72	825696
3	4	17067	16857	46	46	0	59d930db8493	100.63	1.27	2007248
3	8	19608	19362	46	46	0	59d930db8493	128.03	1.48	2317176
3	seq	23623	23453	46	46	0	59d930db8493	98.10	0.68	812820
3	2	18803	18613	46	46	0	59d930db8493	95.43	0.86	1120116
4	8	18938	18700	46	46	0	59d930db8493	125.03	1.35	2215976
4	seq	23243	23068	46	46	0	59d930db8493	97.03	0.73	820136
4	2	18949	18765	46	46	0	59d930db8493	94.63	0.88	1188944
4	4	18462	18253	46	46	0	59d930db8493	109.57	1.12	1520344
5	seq	22848	22684	46	46	0	59d930db8493	93.71	0.82	955988
5	2	17242	17070	46	46	0	59d930db8493	87.13	0.87	1174492
5	4	16461	16266	46	46	0	59d930db8493	96.87	0.91	1354556
5	8	18848	18626	46	46	0	59d930db8493	122.79	1.29	2298820
6	2	18118	17933	46	46	0	59d930db8493	91.52	0.89	1149140
6	4	16717	16524	46	46	0	59d930db8493	99.76	0.99	1442652
6	8	18197	17970	46	46	0	59d930db8493	115.42	1.38	2277384
6	seq	23910	23735	46	46	0	59d930db8493	100.99	0.75	830084
